аакуватий
абажурний
абазинський
абаканський
абаксіальний
абактеріальний
абапікальний
абатів
абатівський
абатський
абацилярний
абашкинський
абверівський
абдикаційний
абдомінальний
абдукторний
абелів
абель-обмежний
абельований
аберантний
аберативний
абераційний
абердинський
аберований
абеткований
абетковий
абетково-гніздовий
абетко-цифровий
абетний
абзацний
абзетцерний
абичий
абиякий
абінський
абіогенезний
абіогенетичний
абіогенний
абіотичний
абіотрофічний
абісальний
абісолітовий
абісофільний
абіссинський
абітурієнтський
аблактований
абластичний
аблативний
аблаутний
абляційний
аболіційний
аболіціоністський
абонементний
абонентний
абонентський
абонований
аборальний
абордажний
абордований
аборигенний
аборигенський
абортивний
абортний
абортований
абразивний
абразивно-кавітаційний
абразивно-кристалічний
абразивноструминний
абразивовмісний
абразивотривкий
абразійний
абревіатурний
абревіаційний
абрикосний
абрикосовий
абрисний
абруптивний
абруццький
абсентний
абсидний
абсолютивний
абсолютизований
абсолютистичний
абсолютистський
абсолютний
абсолютований
абсорбентний
абсорбентовий
абсорберний
абсорбівний
абсорбований
абсорбовний
абсорбувальний
абсорбційний
абстинентний
абстинентський
абстрагований
абстраговний
абстрагувальний
абстрактний
абстракційний
абстракціоністський
абсурдистський
абсурдний
абсцесний
абсцисовий
абузусний
абулічний
абшитований
авальний
авальований
авангардизований
авангардистський
авангардний
авангардно-медитативний
авангардовий
аванзальний
аванкамерний
аванпостний
авансований
авансовий
авансувальний
авантажний
авантитульний
авантурний
авантурницький
авантюриновий
авантюристичний
авантюристський
авантюрний
авантюрницький
аварійний
аварійно-відновлювальний
аварійно-диспетчерський
аварійно-ремонтний
аварійно-рятувальний
аватарний
авгіїв
августиніанський
августинський
августіанський
августійший
авдиторний
авдиторський
авдіальний
авдіативний
авдієнційний
авдіовізуальний
авдіометричний
аверажний
аверсивний
аверсний
авіаагрегатний
авіааматорський
авіабензиновий
авіабомбовий
авіабронетанковий
авіабудівельний
авіабудівний
авіадесантний
авіадиспетчерський
авіазаводський
авіазенітний
авіаконструкторський
авіакосмічний
авіаметеорологічний
авіамодельний
авіамоторний
авіамоторобудівний
авіанавігаційний
авіаносний
авіапаливний
авіапатрульний
авіаперевізницький
авіапоштовий
авіапромисловий
авіаракетний
авіаракетобудівний
авіаремонтний
авіарозвідувальний
авіасервісний
авіасигнальний
авіаспортивний
авіатехнічний
авіаторський
авіатранспортабельний
авіатранспортний
авіатренажерний
авіафавністичний
авіафауністичний
авіаційний
авіаційно-космічний
авіаційно-ракетний
авіаційно-спортивний
авіаційно-технічний
авіаційно-транспортний
авізний
авізований
авізовий
авіньйонський
авірулентний
авітамінозний
авіфавністичний
авіфауністичний
авокадний
авокадовий
авральний
авроральний
аврорний
австралоїдний
австрійсько-польський
австріяцький
авталотріоморфний
автаркійний
автаркічний
автентифікований
автентичний
автигенний
автистичний
автичний
автоагрегатний
автоадгезійний
автоаматорський
автобалансний
автобалансований
автобалансувальний
автобанний
автобіографічний
автобіографічно-мемуарний
автоблокувальний
автобортовий
автобронетанковий
автобудівельний
автобудівний
автобуровий
автобусний
автобусно-таксомоторний
автобусобудівний
автобусоремонтний
автовакуумний
автовантажний
автовокзальний
автогазовий
автогазозаправний
автогальмовий
автогамний
автогаражний
автогезійний
автогенераторний
автогенний
автогідропідіймальний
автогіпнозний
автогравюрний
автографічний
автогрейдерний
